"num_critic_for_reviews","duration","director_facebook_likes","gross","num_voted_users","facenumber_in_poster","num_user_for_reviews","language","country","content_rating","imdb_score","movie_facebook_likes","length_of_title","years","average_actor_likes","genres_new"
608,195,1000,408992272,557489,3,1187,"English","USA","PG-13",7.2,95000,10,5,9333,"Action"
451,108,13000,334185206,306320,0,736,"English","USA","PG",6.5,24000,19,8,25333,"Adventure"
334,104,420,234360014,383427,0,1912,"English","Canada","PG-13",6.8,0,21,12,7123,"Action"
376,104,37,268488329,235025,0,265,"English","USA","G",7.3,44000,19,5,4513,"Adventure"
366,150,0,402076689,323207,0,1439,"English","USA","PG-13",6,0,35,9,646,"Action"
378,165,0,245428137,242420,2,918,"English","USA","PG-13",5.7,56000,31,4,913,"Action"
525,130,0,234903076,175409,4,511,"English","USA","PG",6.4,60000,25,5,23333,"Adventure"
495,142,464,202853933,321227,0,1067,"English","USA","PG-13",6.7,41000,24,4,8608,"Action"
469,125,364,172051787,264183,0,665,"English","USA","PG",6.8,30000,12,8,7667,"Action"
304,106,487,191450875,101178,0,283,"English","USA","G",6.3,10000,6,7,898,"Adventure"
436,123,258,116593191,223393,2,550,"English","USA","PG-13",5.6,24000,13,7,5565,"Action"
453,103,125,414984497,544884,3,733,"English","USA","G",8.3,30000,11,8,5574,"Adventure"
422,118,368,125320003,286095,0,974,"English","USA","PG-13",6.6,0,20,9,8996,"Action"
424,140,0,350034110,278232,0,657,"English","USA","PG-13",7.2,94000,9,3,21000,"Action"
654,123,395,202351611,465019,0,995,"English","USA","PG-13",7,129000,11,5,9667,"Action"
539,149,0,233914986,514125,7,752,"English","USA","PG-13",8,82000,26,4,25333,"Action"
590,132,14000,228756232,395573,0,1171,"English","USA","PG-13",7.8,92000,23,5,6970,"Action"
338,114,0,65171860,106416,1,205,"English","USA","PG-13",6.3,22000,21,5,559,"Adventure"
490,143,1000,144812796,362912,4,753,"English","Australia","PG-13",7.3,115000,16,5,9862,"Drama"
306,116,179,90755643,222403,2,453,"English","USA","PG-13",6.6,23000,35,8,5268,"Action"
575,131,0,101785482,381148,0,1106,"English","USA","PG-13",7,83000,11,5,5962,"Action"
428,154,0,352358779,326180,2,899,"English","USA","PG-13",6.3,46000,30,7,768,"Action"
470,122,14000,317011114,333847,2,2054,"English","USA","PG-13",6.2,5000,50,10,4333,"Action"
298,93,113,123070338,62836,0,345,"English","USA","PG",6.8,20000,17,3,179,"Adventure"
488,93,56,237282182,273556,0,428,"English","USA","PG",7.2,39000,5,6,1279,"Adventure"
322,122,681,130468626,53607,4,432,"English","USA","PG-13",7.5,30000,16,2,407,"Action"
421,98,475,223806889,718837,0,1043,"English","USA","G",8.4,16000,6,10,750,"Adventure"
162,91,420,140080850,121084,2,221,"English","USA","PG-13",6.2,0,11,11,236,"Action"
367,158,776,166112167,283418,0,1055,"English","USA","PG-13",5.8,13000,4,9,593,"Action"
240,96,0,137850096,72809,0,249,"English","USA","PG",6.8,0,17,9,14000,"Animation"
384,127,0,47375327,139593,1,720,"English","USA","PG-13",5.4,44000,17,3,15000,"Action"
248,110,282,124051759,42372,2,239,"English","USA","PG-13",6.6,29000,20,2,7034,"Action"
284,150,80,291709845,286506,5,1463,"English","USA","PG",6.9,0,62,13,424,"Adventure"
396,144,0,154985087,148379,6,622,"English","USA","PG-13",7.3,54000,17,2,16000,"Action"
645,152,22000,533316061,1676169,0,4667,"English","USA","PG-13",9,37000,15,10,15667,"Action"
408,96,0,292979556,665575,1,704,"English","USA","PG",8.3,27000,2,9,703,"Adventure"
219,94,11,198332128,114553,2,187,"English","USA","PG",6.5,0,19,9,811,"Action"
486,126,4000,318298180,696338,3,1055,"English","USA","PG-13",7.9,10000,8,10,12333,"Action"
682,126,17000,73820094,245333,0,678,"English","USA","PG",7.5,42000,4,7,11333,"Adventure"
85,106,188,113745408,129601,2,648,"English","USA","PG-13",4.8,0,14,19,4861,"Action"
264,112,357,102176165,117927,2,501,"English","USA","PG-13",5.2,0,37,10,2865,"Action"
418,123,452,161087183,118992,8,971,"English","USA","PG-13",6.9,80000,13,2,3555,"Action"
186,96,293,100289690,115099,0,257,"English","USA","PG",5.4,2000,13,11,35000,"Comedy"
585,113,218,100189501,431620,1,741,"English","USA","PG-13",7.9,77000,16,4,3788,"Action"
91,176,58,88246220,144337,0,309,"English","USA","PG-13",6.1,0,10,23,277,"Action"
250,118,208,150167630,174578,4,534,"English","USA","PG-13",5.8,0,27,9,8523,"Action"
536,95,0,356454367,345198,1,773,"English","USA","PG",8.3,118000,10,3,717,"Adventure"
370,106,4000,362645141,106072,0,398,"English","UK","PG",7.8,65000,15,2,10864,"Adventure"
453,124,4000,312057433,522371,4,723,"English","USA","PG-13",7,18000,10,8,14667,"Action"
416,132,274,155111815,228554,0,710,"English","USA","PG-13",6.1,53000,27,6,18000,"Action"
401,97,171,241407328,252257,2,634,"English","USA","PG",7,89000,10,4,4615,"Action"
521,130,198,208543795,317542,0,620,"English","USA","PG-13",7.6,45000,30,4,4295,"Action"
218,128,47,38297305,116994,2,324,"English","USA","PG-13",6.3,35000,8,5,6661,"Action"
576,136,94,259746958,496749,1,742,"English","USA","PG-13",7.8,55000,35,4,10667,"Action"
226,93,31,238371987,138661,2,173,"English","USA","PG",6.4,0,19,8,1479,"Adventure"
443,130,663,93417865,128306,2,497,"English","USA","PG",6.5,37000,12,3,1081,"Action"
384,102,38,222487711,279093,0,433,"English","USA","PG",7.9,41000,10,4,679,"Action"
377,101,66,189412677,272534,1,345,"English","USA","PG",7.8,40000,14,6,913,"Adventure"
188,100,0,665426,120798,0,444,"English","USA","G",6.6,10000,17,14,5331,"Adventure"
286,120,776,102315545,58137,0,520,"English","USA","PG-13",5.5,67000,28,2,746,"Action"
288,98,255,217387997,485430,0,492,"English","USA","PG",8.2,33000,24,8,6571,"Adventure"
280,109,84,150350192,305340,0,1676,"English","USA","R",6.4,0,34,15,374,"Action"
653,121,571,333130696,682155,3,1097,"English","USA","PG-13",8.1,96000,23,4,10333,"Action"
712,169,22000,187991439,928227,1,2725,"English","USA","PG-13",8.6,349000,12,4,9333,"Adventure"
642,148,22000,292568851,1468200,0,2803,"English","USA","PG-13",8.8,175000,9,8,26333,"Action"
187,106,357,144512310,272223,2,988,"English","USA","PG-13",6.7,14000,24,17,13667,"Action"
362,166,21000,127490802,459346,2,822,"English","USA","PG-13",7.8,23000,35,10,4306,"Drama"
500,132,905,146405371,518537,3,698,"English","USA","PG-13",7.8,54000,18,7,16000,"Action"
389,137,508,281666058,166137,1,383,"English","USA","PG-13",6.6,38000,37,3,23333,"Adventure"
235,109,226,63143812,124185,0,238,"English","USA","PG",6.1,11000,25,8,4263,"Action"
231,98,249,60655503,82380,0,629,"English","USA","PG-13",5.6,0,8,12,29901,"Action"
218,113,33,76846624,21352,1,131,"English","USA","PG",6.4,30000,31,2,25333,"Adventure"
227,93,50,320706665,211971,2,326,"English","USA","PG",6.1,0,15,11,1496,"Adventure"
275,123,0,46978995,111609,0,781,"English","USA","PG-13",7.3,89000,8,2,1455,"Action"
474,126,230,89732035,188457,2,867,"English","USA","PG-13",6.6,82000,18,3,12000,"Action"
228,113,150,104383624,106446,4,227,"English","USA","PG",6.3,11000,56,8,224,"Adventure"
191,184,0,198539855,254111,0,1999,"English","USA","PG-13",6.1,0,12,17,1551,"Action"
396,144,0,318759914,513158,0,1782,"English","USA","PG-13",7.1,8000,12,11,614,"Action"
248,206,0,34293771,138863,3,1390,"English","Germany","R",5.5,0,9,14,7864,"Action"
329,138,282,292000866,355137,3,1108,"English","UK","PG-13",7.5,0,41,11,10896,"Adventure"
295,157,179,289994397,385670,1,1896,"English","UK","PG-13",7.6,0,35,13,14000,"Adventure"
318,102,532,227946274,343648,0,590,"English","USA","PG-13",6.4,0,7,10,6660,"Action"
323,104,508,256386216,530870,0,1413,"English","USA","PG-13",7.2,11000,11,11,3853,"Drama"
276,115,13000,206456431,320284,3,1361,"English","USA","PG",6.7,0,33,13,18863,"Adventure"
318,111,663,206435493,473887,0,626,"English","USA","G",8,10000,11,11,985,"Animation"
478,128,22000,205343774,980946,0,2685,"English","USA","PG-13",8.3,15000,13,13,16000,"Action"
167,89,35,179982968,146019,0,119,"English","USA","PG",6.7,0,27,10,762,"Action"
185,105,189,177243721,130272,2,209,"English","USA","PG",5.9,2000,46,9,17667,"Adventure"
350,119,151,179883016,361924,0,641,"English","USA","PG-13",6.7,0,24,9,12667,"Action"
245,129,0,139259759,364948,0,2121,"English","Australia","R",6.7,0,22,15,270,"Action"
406,102,69,400736600,421658,0,904,"English","USA","PG",7.6,58000,6,5,671,"Adventure"
275,138,0,281492479,421818,0,2789,"English","USA","R",7.2,0,19,15,154,"Action"
486,112,230,206360018,414070,3,532,"English","USA","PG-13",7.1,63000,20,5,19333,"Action"
739,120,750,153629485,552503,0,1588,"English","Australia","R",8.1,191000,18,3,12314,"Action"
298,146,2000,133375846,207839,2,435,"English","USA","PG-13",6.7,0,15,9,5346,"Mystery"
516,115,0,181015141,536314,1,738,"English","USA","PG-13",7,63000,4,7,19333,"Action"
225,96,59,114053579,146766,0,178,"English","USA","PG",6.9,0,4,10,6153,"Adventure"
145,88,12,119420252,33042,0,90,"English","USA","PG",5.1,0,7,9,506,"Action"
310,99,473,83640426,152826,0,253,"English","USA","PG-13",5.8,19000,19,6,5133,"Action"
526,113,13000,79711678,199039,7,479,"English","USA","PG-13",6.2,82000,12,6,24333,"Comedy"
465,131,188,195000874,232187,0,440,"English","China","PG-13",7.4,47000,34,3,6880,"Action"
357,119,394,61937495,89442,0,432,"English","USA","R",5.8,0,11,8,4217,"Drama"
248,110,282,124051759,42372,2,239,"English","USA","PG-13",6.6,29000,20,2,7034,"Action"
194,91,58,126597121,105902,0,206,"English","USA","PG",6.2,0,9,11,1226,"Adventure"
284,90,90,165230261,182718,0,209,"English","USA","PG",7.3,20000,15,7,7005,"Action"
280,103,0,131564731,118951,0,1382,"English","USA","PG",4.2,18000,18,8,701,"Action"
310,124,14000,133382309,256695,0,871,"English","USA","PG-13",6.9,0,23,12,10993,"Action"
339,131,776,73103784,164238,2,434,"English","USA","PG-13",6.4,33000,16,5,5936,"Action"
132,88,25,21379315,17590,0,112,"English","USA","PG",5.4,0,15,7,639,"Action"
135,85,42,64459316,85086,0,122,"English","UK","PG",6.7,0,12,12,11529,"Adventure"
256,111,456,34964818,39956,4,186,"English","USA","PG",5.8,24000,3,3,6981,"Adventure"
196,92,50,111505642,47900,2,130,"English","USA","PG",6.9,11000,21,4,1506,"Adventure"
220,196,249,133228348,381672,2,1694,"English","USA","R",7.2,0,4,14,5615,"Adventure"
211,93,35,216366733,119213,0,154,"English","USA","PG",6.9,17000,34,6,686,"Adventure"
264,133,93,160201106,169914,0,1185,"English","UK","PG-13",6.1,0,15,16,760,"Action"
464,116,176,118099659,69757,4,1211,"English","USA","PG-13",5.5,62000,12,2,492,"Action"
167,153,0,201573391,322395,0,1171,"English","USA","PG-13",6.6,11000,10,20,8512,"Action"
208,88,188,190418803,270207,2,606,"English","USA","PG-13",6.1,2000,15,16,4609,"Action"
287,115,0,82161969,142440,1,505,"English","USA","PG-13",6.3,3000,7,11,10321,"Action"
210,95,5,143523463,64322,0,145,"English","USA","PG",7.2,24000,15,2,11989,"Action"
432,133,663,209364921,365104,3,512,"English","USA","PG-13",7.4,35000,36,7,6897,"Action"
256,97,52,103400692,123553,0,174,"English","USA","PG",7.3,25000,21,6,6825,"Adventure"
135,90,23,110332737,110788,1,258,"English","USA","PG-13",6.1,2000,22,13,580,"Comedy"
190,154,380,111110575,317166,1,928,"English","USA","R",7.7,0,16,15,3800,"Action"
314,150,0,65007045,128682,0,657,"English","UK","PG-13",6.1,51000,22,4,8214,"Action"
518,127,14000,257704099,504419,0,1559,"English","USA","PG-13",8,19000,9,9,12994,"Action"
291,121,0,403706375,544665,0,2012,"English","USA","PG-13",7.3,5000,10,16,13000,"Action"
292,102,255,176997107,221128,5,343,"English","USA","PG",7.9,46000,26,4,7318,"Action"
184,126,295,31141074,51892,4,273,"English","USA","PG-13",5.5,24000,13,2,6406,"Action"
145,121,357,31704416,45455,0,388,"English","USA","PG-13",5,0,7,13,751,"Action"
451,215,0,107503316,392474,1,1229,"English","USA","R",7.7,18000,8,9,715,"Action"
141,127,503,129734803,127497,2,287,"English","USA","R",6.6,0,15,20,1966,"Action"
267,138,0,132122995,212106,0,1445,"English","USA","PG-13",5.7,0,4,15,459,"Action"
351,122,209,122512052,146352,6,288,"English","USA","PG-13",5.8,42000,21,5,9978,"Action"
163,124,42,68642452,77673,3,463,"English","UK","PG-13",6,0,6,13,4274,"Action"
166,106,6,32131830,72259,1,788,"English","USA","PG-13",6.4,0,33,17,4807,"Action"
510,124,394,176636816,508818,0,679,"English","USA","PG-13",6.9,46000,34,7,5333,"Action"
197,128,150,126930660,157519,2,683,"English","UK","PG-13",6.4,2000,23,19,515,"Action"
244,138,608,93926386,168207,1,684,"English","USA","PG-13",7.4,0,47,15,318,"Action"
322,115,386,292298923,185394,3,329,"English","USA","PG-13",5.5,65000,41,6,16667,"Adventure"
156,100,750,63992328,32399,0,79,"English","Australia","PG",5.9,0,12,7,20329,"Animation"
354,135,255,134518390,326286,0,643,"English","USA","PG-13",6.8,0,19,10,1627,"Action"
252,117,14000,52792307,12572,0,106,"English","UK","PG",6.8,27000,7,2,431,"Adventure"
556,156,0,183635922,406020,0,1188,"English","USA","R",8.1,190000,12,3,18911,"Adventure"
166,96,13,83024900,62424,0,90,"English","USA","PG",6.5,13000,5,5,5781,"Adventure"
362,107,563,123207194,183208,0,337,"English","USA","PG",7.2,26000,5,7,13980,"Adventure"
153,92,35,83348920,60230,0,118,"English","USA","PG",6.7,11000,22,4,6530,"Adventure"
329,115,521,227137090,491077,0,820,"English","USA","PG-13",8.1,0,20,11,4927,"Action"
266,92,54,215395021,307029,0,360,"English","USA","PG",7.6,6000,13,10,4176,"Action"
517,117,235,180191634,313866,6,549,"English","USA","PG-13",7.4,61000,7,3,1560,"Action"
502,146,508,424645577,498397,1,706,"English","USA","PG-13",7.6,82000,31,5,16174,"Adventure"
322,115,386,292298923,185394,3,329,"English","USA","PG-13",5.5,65000,41,6,16667,"Adventure"
165,94,12,177343675,70121,0,214,"English","USA","PG",6.7,26000,4,3,5902,"Adventure"
401,116,14000,234277056,334345,0,2741,"English","USA","PG-13",6.5,0,17,13,3936,"Adventure"
94,147,0,138396624,178126,1,511,"English","USA","R",6.6,0,11,15,3925,"Action"
246,90,50,149234747,114287,0,137,"English","USA","PG",6.7,16000,13,7,1613,"Action"
330,101,176,118311368,245621,1,514,"English","USA","PG-13",6.4,23000,4,8,3995,"Action"
434,138,0,101160529,200022,2,1240,"English","USA","PG-13",5.8,71000,4,4,9667,"Action"
440,107,14000,77564037,177383,1,447,"English","USA","PG",7.4,44000,24,7,1239,"Action"
274,142,0,249358727,382255,3,1504,"English","UK","PG",7.8,11000,40,14,10333,"Adventure"
245,165,1000,49551662,102338,0,450,"English","Australia","PG-13",6.6,0,9,10,253,"Adventure"
349,100,0,60522097,158720,0,744,"English","USA","PG-13",4.9,37000,11,5,3946,"Action"
145,82,0,137748063,38438,1,241,"English","USA","PG",6.5,0,8,18,649,"Adventure"
154,98,189,113733726,67223,7,126,"English","USA","PG",6.2,11000,39,4,17667,"Adventure"
233,95,96,148337537,172754,3,187,"English","USA","PG",7.3,13000,8,8,14333,"Action"
258,159,0,317557891,444683,4,1571,"English","UK","PG",7.5,16000,37,17,4111,"Adventure"
208,96,124,33592415,91640,2,210,"English","USA","PG-13",5.6,20000,8,5,9667,"Action"
271,143,563,305388685,809474,3,2113,"English","USA","PG-13",8.1,10000,54,15,15333,"Action"
403,123,508,337103873,305008,1,591,"English","USA","PG-13",6.7,52000,37,4,23333,"Adventure"
294,174,2000,217536138,314253,2,1966,"English","USA","PG-13",6.6,0,17,12,5312,"Mystery"
159,101,107,131536019,58498,0,99,"English","USA","G",6.4,0,5,4,327,"Adventure"
289,134,0,214948780,405973,4,1055,"English","Canada","PG-13",7.5,0,7,15,6950,"Action"
342,132,681,209805005,284792,3,366,"English","USA","PG-13",7.3,54000,9,7,16333,"Action"
382,129,0,186830669,338635,2,412,"English","USA","PG-13",7.5,39000,34,7,7378,"Action"
344,106,255,163192114,229679,0,637,"English","USA","PG-13",5.8,15000,19,8,5283,"Action"
196,113,719,119412921,240241,0,391,"English","USA","R",7.5,0,12,28,377,"Action"
85,102,323,32694788,101411,1,546,"English","USA","R",6.6,0,16,19,486,"Action"
436,135,209,113165635,229823,0,504,"English","USA","PG-13",6.7,31000,17,6,3809,"Action"
183,125,541,107285004,189855,3,1018,"English","USA","PG-13",3.7,0,14,21,740,"Action"
175,110,2000,260031035,141414,0,482,"English","USA","PG",6,0,30,18,786,"Comedy"
239,124,776,186739919,333248,0,1159,"English","USA","PG-13",6.4,19000,22,14,5937,"Action"
237,123,610,215397307,242188,0,1426,"English","USA","PG-13",6.1,0,22,18,3816,"Action"
231,130,249,182618434,133076,0,779,"English","USA","PG-13",6.4,0,17,18,628,"Action"
262,92,167,131920333,213275,3,436,"English","USA","PG",5.6,0,38,11,4567,"Action"
552,127,0,124976634,440084,0,755,"English","USA","PG",8,122000,10,6,491,"Adventure"
276,123,160,115802596,182661,1,681,"English","USA","PG-13",5.2,0,11,11,4368,"Action"
267,123,521,108521835,40123,0,297,"English","UK","PG-13",7.1,31000,12,2,4543,"Action"
102,107,368,100685880,100821,0,554,"English","USA","PG-13",4.8,0,31,15,1333,"Action"
775,124,0,126464904,456260,0,2326,"English","USA","R",7,97000,10,6,7547,"Adventure"
71,77,50,64736114,36471,0,69,"English","USA","PG",5.4,459,15,16,741,"Adventure"
476,109,662,93050117,338087,0,814,"English","USA","R",6.6,61000,7,5,5333,"Action"
207,134,123,57637485,183909,0,666,"English","USA","PG-13",6.7,0,25,14,5139,"Action"
492,117,294,58607007,182899,0,630,"English","USA","PG-13",6.2,60000,7,4,4333,"Action"
284,135,0,43929341,57873,0,414,"English","USA","PG",6.1,0,11,10,295,"Action"
168,121,274,30212620,35066,4,196,"English","USA","PG-13",5.3,0,15,8,215,"Comedy"
283,117,446,76418654,148280,0,348,"English","USA","PG-13",6.3,11000,14,8,3950,"Action"
539,124,364,89021735,387436,0,892,"English","USA","PG-13",7,71000,8,5,7333,"Action"
359,140,0,380262555,520104,4,3286,"English","USA","PG-13",7.6,10000,44,13,13333,"Action"
284,142,0,310675583,464310,3,3516,"English","USA","PG",6.7,0,44,16,13333,"Action"
250,92,0,289907418,585659,0,593,"English","USA","G",8.1,0,14,17,4591,"Adventure"
440,138,446,132550960,328067,1,533,"English","USA","PG-13",6.7,68000,13,5,7307,"Action"
320,136,0,474544677,534658,1,3597,"English","USA","PG",6.5,13000,41,19,11667,"Action"
257,98,16,187165546,150618,3,195,"English","USA","PG",7.3,28000,10,5,14333,"Adventure"
152,153,610,40911830,55994,0,454,"English","USA","R",6,0,11,16,4484,"Action"
231,120,19,47952020,37750,2,134,"English","USA","PG-13",6.1,16000,26,2,15333,"Action"
348,101,473,190871240,167085,0,491,"English","USA","PG-13",5.9,62000,28,4,690,"Action"
738,91,0,274084951,582917,0,1885,"English","UK","PG-13",7.8,147000,7,5,25,"Adventure"
93,108,79,67155742,62271,1,277,"English","USA","PG-13",5.8,0,12,21,404,"Action"
369,100,128,56114221,110486,3,695,"English","USA","PG-13",4.3,41000,14,3,345,"Action"
179,108,189,250863268,234480,2,444,"English","USA","PG",6.4,3000,19,12,17667,"Action"
358,114,62,155181732,147497,0,499,"English","USA","PG-13",6.1,52000,11,3,4961,"Action"
160,119,55,125332007,149680,3,328,"English","UK","PG-13",6.5,0,19,21,655,"Action"
192,142,776,113330342,207613,1,1144,"English","USA","R",7.1,4000,11,18,5333,"Action"
198,125,0,125531634,284852,0,627,"English","USA","PG-13",6.4,0,14,14,6450,"Crime"
233,126,218,186336103,348861,2,798,"English","USA","PG-13",6.5,0,16,13,7441,"Action"
263,119,124,129995817,154621,0,258,"English","USA","PG-13",6.3,27000,9,3,6667,"Adventure"
267,170,17000,102608827,264318,0,799,"English","USA","PG-13",7.5,0,11,14,10942,"Biography"
184,85,11,42776259,53160,1,121,"English","USA","PG",4.9,0,18,8,329,"Adventure"
447,119,1000,98780042,136019,0,443,"English","USA","PG-13",5.8,14000,16,7,4247,"Action"
366,102,263,106369117,225273,0,523,"English","USA","R",6.2,71000,22,4,2667,"Action"
172,103,67,142614158,66593,3,153,"English","USA","PG",5.5,31000,10,7,202,"Adventure"
104,76,6,50026353,13581,0,88,"English","USA","PG",5.4,304,17,14,4311,"Animation"
181,120,124,66002193,44296,3,144,"English","USA","PG-13",5.8,12000,9,2,3981,"Action"
327,127,189,85463309,254841,1,426,"English","USA","PG-13",7.1,36000,10,7,7158,"Action"
125,105,67,71017784,27257,3,59,"English","USA","PG",5.4,0,12,5,264,"Adventure"
79,121,101,48068396,60573,0,248,"English","USA","PG-13",3.7,894,23,21,414,"Action"
326,114,151,61656849,184561,4,554,"English","USA","PG-13",6.7,123000,12,5,4022,"Action"
354,129,235,134520804,336235,1,782,"English","USA","PG-13",7.2,0,21,11,4532,"Action"
297,171,0,313837577,1238746,2,5060,"English","New Zealand","PG-13",8.8,21000,49,17,7286,"Action"
188,120,153,24004159,68720,0,191,"English","USA","PG",5.8,0,27,14,816,"Action"
174,165,0,58183966,79186,1,386,"English","USA","R",6.8,0,3,17,3877,"Biography"
109,82,34,100446895,36033,1,456,"English","USA","PG",3.8,946,18,15,646,"Adventure"
225,115,295,144795350,387632,1,789,"English","USA","PG-13",7.1,0,8,14,3816,"Action"
239,194,0,47396698,217373,1,942,"English","USA","R",7.2,0,17,13,6398,"Action"
101,84,50,140015224,94172,0,179,"English","Germany","PG",5.9,0,13,19,852,"Adventure"
228,97,63,104374107,89351,0,214,"English","USA","G",7.1,5000,25,9,652,"Animation"
568,151,0,228430993,472488,1,1023,"English","USA","PG-13",8.1,153000,11,3,4724,"Adventure"
257,136,0,35799026,263329,1,899,"English","USA","PG-13",6.9,0,10,13,11333,"Action"
62,104,23,6712451,4102,0,89,"English","New Line","R",4.4,53,14,17,658,"Comedy"
175,127,57,101643008,218341,1,498,"English","USA","PG-13",6.5,0,21,18,8667,"Action"
265,171,0,187670866,982637,0,2368,"English","USA","R",8.5,21000,9,18,1543,"Action"
252,145,14000,132014112,399651,0,1331,"English","USA","PG-13",7.7,0,15,16,3777,"Action"
232,174,0,261970615,387616,1,858,"English","UK","PG",7.4,0,39,16,10000,"Adventure"
400,144,258,167007184,470483,1,2301,"English","UK","PG-13",8,0,13,12,2611,"Action"
230,119,13000,180011740,177725,0,1368,"English","USA","PG-13",5.7,0,18,17,742,"Action"
210,153,0,204843350,744891,0,983,"English","USA","R",8.5,13000,26,27,641,"Action"
357,140,0,97030725,230931,1,585,"English","USA","R",7,0,14,9,21333,"Biography"
300,176,0,130127620,324671,0,458,"English","USA","R",7.8,0,17,11,6448,"Biography"
94,141,0,146282411,190439,0,351,"English","USA","R",7.2,0,9,24,1206,"Action"
267,106,12000,65452312,149998,1,285,"English","USA","R",6.4,0,26,9,6283,"Action"
180,98,80,148383780,85531,10,152,"English","USA","PG-13",5.5,0,14,8,7807,"Comedy"
265,116,285,119219978,189806,2,316,"English","USA","PG-13",6.7,16000,14,8,6702,"Action"
81,115,55,101228120,84424,1,131,"English","USA","R",6.1,0,6,22,719,"Action"
765,165,16000,162804648,955174,1,1193,"English","USA","R",8.5,199000,16,6,13422,"Drama"
80,91,21,100117603,102933,0,230,"English","USA","G",6.9,0,27,22,1081,"Animation"
141,78,10,89296573,128285,1,297,"English","USA","G",7.3,0,24,18,421,"Adventure"
383,103,165,85017401,246803,3,474,"English","USA","R",6.7,108000,17,6,17333,"Action"
193,131,226,173005002,255447,0,692,"English","USA","PG",6.9,0,17,14,4322,"Action"
170,104,14,75030163,108076,0,1690,"English","USA","PG",5.1,0,6,12,1322,"Action"
333,101,0,77222184,87677,0,388,"English","Germany","PG",6.8,11000,25,9,557,"Adventure"
256,111,456,34964818,39956,4,186,"English","USA","PG",5.8,24000,3,3,6981,"Adventure"
203,102,77,107515297,85833,2,113,"English","USA","PG",6.7,17000,4,5,4757,"Adventure"
321,103,207,67631157,176598,0,374,"English","USA","PG-13",6,25000,11,8,18000,"Action"
174,121,0,66862068,89509,0,524,"English","USA","R",5.7,2000,11,19,865,"Action"
166,143,380,57366262,400292,0,657,"English","Germany","R",8,14000,13,12,10817,"Adventure"
606,240,17000,116866727,780588,3,1138,"English","USA","R",8.2,138000,23,5,14667,"Biography"
